text,category,created_at,resolved_at
App crashes on login screen,technical,2026-01-02 09:00:00,2026-01-02 11:00:00
Cannot reset my password,technical,2026-01-02 14:00:00,2026-01-02 19:00:00
Dashboard keeps showing error 500,technical,2026-01-02 19:00:00,2026-01-03 07:00:00
Mobile app freezes after update,technical,2026-01-03 00:00:00,2026-01-03 20:00:00
Two factor authentication not working,technical,2026-01-03 05:00:00,2026-01-04 11:00:00
Server timeout during file upload,technical,2026-01-03 10:00:00,2026-01-05 10:00:00
API integration returns invalid token,technical,2026-01-03 15:00:00,2026-01-06 15:00:00
Notification emails not being sent,technical,2026-01-03 20:00:00,2026-01-08 20:00:00
Session expires immediately after login,technical,2026-01-04 01:00:00,2026-01-04 03:00:00
Search results never load on the portal,technical,2026-01-04 06:00:00,2026-01-04 11:00:00
Push notifications duplicate every minute,technical,2026-01-04 11:00:00,2026-01-04 23:00:00
Dark mode breaks the settings page layout,technical,2026-01-04 16:00:00,2026-01-05 12:00:00
OTP code never arrives on my phone,technical,2026-01-04 21:00:00,2026-01-06 03:00:00
Profile photo upload fails with network error,technical,2026-01-05 02:00:00,2026-01-07 02:00:00
Websocket disconnects during live chat,technical,2026-01-05 07:00:00,2026-01-08 07:00:00
Report export downloads a corrupted file,technical,2026-01-05 12:00:00,2026-01-10 12:00:00
SSO login redirects to a blank page,technical,2026-01-05 17:00:00,2026-01-05 19:00:00
Browser console shows CORS failures,technical,2026-01-05 22:00:00,2026-01-06 03:00:00
Keyboard shortcuts stop working after refresh,technical,2026-01-06 03:00:00,2026-01-06 15:00:00
Attachment preview is stuck on loading spinner,technical,2026-01-06 08:00:00,2026-01-07 04:00:00
Calendar sync fails with Google account,technical,2026-01-06 13:00:00,2026-01-07 19:00:00
App crashes when switching workspaces,technical,2026-01-06 18:00:00,2026-01-08 18:00:00
Form submit button remains disabled forever,technical,2026-01-06 23:00:00,2026-01-09 23:00:00
Infinite redirect loop on admin console,technical,2026-01-07 04:00:00,2026-01-12 04:00:00
Latency spikes make the UI unusable,technical,2026-01-07 09:00:00,2026-01-07 11:00:00
